State,Year,Quarter,District,No_of_Regusers,No_of_AppOpen
andaman-&-nicobar-islands,2018,1,north and middle andaman district,632,0
andaman-&-nicobar-islands,2018,1,south andaman district,5846,0
andaman-&-nicobar-islands,2018,1,nicobars district,262,0
andaman-&-nicobar-islands,2018,2,north and middle andaman district,911,0
andaman-&-nicobar-islands,2018,2,south andaman district,8143,0
andaman-&-nicobar-islands,2018,2,nicobars district,351,0
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1208,0
andaman-&-nicobar-islands,2018,3,south andaman district,10474,0
andaman-&-nicobar-islands,2018,3,nicobars district,467,0
andaman-&-nicobar-islands,2018,4,north and middle andaman district,1553,0
andaman-&-nicobar-islands,2018,4,south andaman district,13133,0
andaman-&-nicobar-islands,2018,4,nicobars district,536,0
andaman-&-nicobar-islands,2019,1,north and middle andaman district,2013,0
andaman-&-nicobar-islands,2019,1,south andaman district,15961,0
andaman-&-nicobar-islands,2019,1,nicobars district,622,0
andaman-&-nicobar-islands,2019,2,north and middle andaman district,2417,6118
andaman-&-nicobar-islands,2019,2,south andaman district,18621,43569
andaman-&-nicobar-islands,2019,2,nicobars district,693,2953
andaman-&-nicobar-islands,2019,3,north and middle andaman district,2662,22064
andaman-&-nicobar-islands,2019,3,south andaman district,20518,138190
andaman-&-nicobar-islands,2019,3,nicobars district,751,10853
andaman-&-nicobar-islands,2019,4,north and middle andaman district,2955,26253
andaman-&-nicobar-islands,2019,4,south andaman district,22202,139646
andaman-&-nicobar-islands,2019,4,nicobars district,803,11113
andaman-&-nicobar-islands,2020,1,north and middle andaman district,3315,30444
andaman-&-nicobar-islands,2020,1,south andaman district,24174,151529
andaman-&-nicobar-islands,2020,1,nicobars district,879,11613
andaman-&-nicobar-islands,2020,2,north and middle andaman district,4100,56992
andaman-&-nicobar-islands,2020,2,south andaman district,27626,231071
andaman-&-nicobar-islands,2020,2,nicobars district,984,17009
andaman-&-nicobar-islands,2020,3,north and middle andaman district,5355,76553
andaman-&-nicobar-islands,2020,3,south andaman district,34833,417785
andaman-&-nicobar-islands,2020,3,nicobars district,1147,21227
andaman-&-nicobar-islands,2020,4,north and middle andaman district,7076,125915
andaman-&-nicobar-islands,2020,4,south andaman district,43908,725321
andaman-&-nicobar-islands,2020,4,nicobars district,1412,35972
andaman-&-nicobar-islands,2021,1,north and middle andaman district,7833,121680
andaman-&-nicobar-islands,2021,1,south andaman district,48352,837589
andaman-&-nicobar-islands,2021,1,nicobars district,1573,45067
andaman-&-nicobar-islands,2021,2,north and middle andaman district,8493,596182
andaman-&-nicobar-islands,2021,2,south andaman district,51903,1270226
andaman-&-nicobar-islands,2021,2,nicobars district,1699,381815
andaman-&-nicobar-islands,2021,3,north and middle andaman district,9263,759314
andaman-&-nicobar-islands,2021,3,south andaman district,55873,1771107
andaman-&-nicobar-islands,2021,3,nicobars district,1846,591204
andaman-&-nicobar-islands,2021,4,north and middle andaman district,10002,171921
andaman-&-nicobar-islands,2021,4,south andaman district,59807,1863037
andaman-&-nicobar-islands,2021,4,nicobars district,1971,77952
andaman-&-nicobar-islands,2022,1,north and middle andaman district,10720,904869
andaman-&-nicobar-islands,2022,1,south andaman district,63487,2368756
andaman-&-nicobar-islands,2022,1,nicobars district,2081,573782
andaman-&-nicobar-islands,2022,2,north and middle andaman district,11379,963824
andaman-&-nicobar-islands,2022,2,south andaman district,66959,3404740
andaman-&-nicobar-islands,2022,2,nicobars district,2192,811449
andaman-&-nicobar-islands,2022,3,north and middle andaman district,11897,1176567
andaman-&-nicobar-islands,2022,3,south andaman district,70445,3607286
andaman-&-nicobar-islands,2022,3,nicobars district,2300,1284501
andaman-&-nicobar-islands,2022,4,north and middle andaman district,12361,313502
andaman-&-nicobar-islands,2022,4,south andaman district,73692,3881359
andaman-&-nicobar-islands,2022,4,nicobars district,2389,159232
andhra-pradesh,2018,1,east godavari district,350356,0
andhra-pradesh,2018,1,srikakulam district,143839,0
andhra-pradesh,2018,1,visakhapatnam district,497187,0
andhra-pradesh,2018,1,prakasam district,189949,0
andhra-pradesh,2018,1,anantapur district,241192,0
andhra-pradesh,2018,1,kurnool district,240133,0
andhra-pradesh,2018,1,guntur district,317065,0
andhra-pradesh,2018,1,krishna district,323673,0
andhra-pradesh,2018,1,spsr nellore district,194475,0
andhra-pradesh,2018,1,vizianagaram district,128905,0
andhra-pradesh,2018,1,ysr district,186800,0
andhra-pradesh,2018,1,west godavari district,213335,0
andhra-pradesh,2018,1,chittoor district,309541,0
andhra-pradesh,2018,2,east godavari district,454398,0
andhra-pradesh,2018,2,srikakulam district,186913,0
andhra-pradesh,2018,2,visakhapatnam district,636052,0
andhra-pradesh,2018,2,prakasam district,253458,0
andhra-pradesh,2018,2,anantapur district,326383,0
andhra-pradesh,2018,2,kurnool district,319313,0
andhra-pradesh,2018,2,guntur district,420326,0
andhra-pradesh,2018,2,krishna district,431965,0
andhra-pradesh,2018,2,spsr nellore district,261049,0
andhra-pradesh,2018,2,vizianagaram district,167327,0
andhra-pradesh,2018,2,ysr district,248657,0
andhra-pradesh,2018,2,west godavari district,282393,0
andhra-pradesh,2018,2,chittoor district,414306,0
andhra-pradesh,2018,3,east godavari district,558982,0
andhra-pradesh,2018,3,srikakulam district,228456,0
andhra-pradesh,2018,3,visakhapatnam district,769096,0
andhra-pradesh,2018,3,prakasam district,314899,0
andhra-pradesh,2018,3,anantapur district,405855,0
andhra-pradesh,2018,3,kurnool district,394311,0
andhra-pradesh,2018,3,guntur district,518931,0
andhra-pradesh,2018,3,krishna district,537086,0
andhra-pradesh,2018,3,spsr nellore district,322446,0
andhra-pradesh,2018,3,vizianagaram district,203655,0
andhra-pradesh,2018,3,ysr district,308391,0
andhra-pradesh,2018,3,west godavari district,349782,0
andhra-pradesh,2018,3,chittoor district,515727,0
andhra-pradesh,2018,4,east godavari district,694455,0
andhra-pradesh,2018,4,srikakulam district,284874,0
andhra-pradesh,2018,4,visakhapatnam district,978288,0
andhra-pradesh,2018,4,prakasam district,394962,0
andhra-pradesh,2018,4,anantapur district,510892,0
andhra-pradesh,2018,4,kurnool district,498582,0
andhra-pradesh,2018,4,guntur district,659552,0
andhra-pradesh,2018,4,krishna district,682479,0
andhra-pradesh,2018,4,spsr nellore district,407495,0
andhra-pradesh,2018,4,vizianagaram district,257824,0
andhra-pradesh,2018,4,ysr district,387058,0
andhra-pradesh,2018,4,west godavari district,435668,0
andhra-pradesh,2018,4,chittoor district,665280,0
andhra-pradesh,2019,1,east godavari district,839277,0
andhra-pradesh,2019,1,srikakulam district,345775,0
andhra-pradesh,2019,1,visakhapatnam district,1174517,0
andhra-pradesh,2019,1,prakasam district,474260,0
andhra-pradesh,2019,1,anantapur district,612162,0
andhra-pradesh,2019,1,kurnool district,599422,0
andhra-pradesh,2019,1,guntur district,802394,0
andhra-pradesh,2019,1,krishna district,833694,0
andhra-pradesh,2019,1,spsr nellore district,491908,0
andhra-pradesh,2019,1,vizianagaram district,313334,0
andhra-pradesh,2019,1,ysr district,460590,0
andhra-pradesh,2019,1,west godavari district,523372,0
andhra-pradesh,2019,1,chittoor district,812314,0
andhra-pradesh,2019,2,east godavari district,945181,7156762
andhra-pradesh,2019,2,srikakulam district,392764,3230330
andhra-pradesh,2019,2,visakhapatnam district,1318740,13681907
andhra-pradesh,2019,2,prakasam district,539462,4488365
andhra-pradesh,2019,2,anantapur district,695114,6056591
andhra-pradesh,2019,2,kurnool district,680118,6240480
andhra-pradesh,2019,2,guntur district,915256,7268875
andhra-pradesh,2019,2,krishna district,952300,7822632
andhra-pradesh,2019,2,spsr nellore district,558303,4774473
andhra-pradesh,2019,2,vizianagaram district,355058,3541678
andhra-pradesh,2019,2,ysr district,519031,4345848
andhra-pradesh,2019,2,west godavari district,592185,3853094
