State,Year,Quarter,Pincodes,Transcation_Count,Transcation_Amount
andaman-&-nicobar-islands,2018,1,744101,1622,2769297.9039997994
andaman-&-nicobar-islands,2018,1,744103,1223,2238041.8716124697
andaman-&-nicobar-islands,2018,1,744102,969,3519059.937562449
andaman-&-nicobar-islands,2018,1,744105,685,1298560.9515503529
andaman-&-nicobar-islands,2018,1,744104,340,1039715.3111450541
andaman-&-nicobar-islands,2018,1,744107,302,556059.5308556345
andaman-&-nicobar-islands,2018,1,744301,283,445739.1633851439
andaman-&-nicobar-islands,2018,1,744112,269,333709.56700413954
andaman-&-nicobar-islands,2018,1,744202,193,238914.01667155625
andaman-&-nicobar-islands,2018,1,744302,168,547469.6509380838
andaman-&-nicobar-islands,2018,2,744101,2701,6310089.917084678
andaman-&-nicobar-islands,2018,2,744103,1965,4752146.698501162
andaman-&-nicobar-islands,2018,2,744102,1525,5810267.574788321
andaman-&-nicobar-islands,2018,2,744105,997,2200332.971862734
andaman-&-nicobar-islands,2018,2,744301,767,1953749.3787199226
andaman-&-nicobar-islands,2018,2,744104,659,1650346.1906506256
andaman-&-nicobar-islands,2018,2,744107,594,1601569.9821441039
andaman-&-nicobar-islands,2018,2,744112,432,578829.1795229593
andaman-&-nicobar-islands,2018,2,744202,405,626523.9803147907
andaman-&-nicobar-islands,2018,2,744302,291,1026590.0735863491
andaman-&-nicobar-islands,2018,3,744101,3462,10833893.444488766
andaman-&-nicobar-islands,2018,3,744103,3182,10184154.358592123
andaman-&-nicobar-islands,2018,3,744102,2224,10365275.479700703
andaman-&-nicobar-islands,2018,3,744105,1613,5152534.080403434
andaman-&-nicobar-islands,2018,3,744104,1029,2588077.6866583927
andaman-&-nicobar-islands,2018,3,744301,975,4256576.349618757
andaman-&-nicobar-islands,2018,3,744112,579,1145815.7801705198
andaman-&-nicobar-islands,2018,3,744107,547,1492405.302862124
andaman-&-nicobar-islands,2018,3,744302,417,1976781.9199490356
andaman-&-nicobar-islands,2018,3,744202,341,2099404.0789861116
andaman-&-nicobar-islands,2018,4,744101,4674,16392855.280625317
andaman-&-nicobar-islands,2018,4,744103,4576,17022520.257624768
andaman-&-nicobar-islands,2018,4,744102,3306,17019977.183053624
andaman-&-nicobar-islands,2018,4,744105,2513,9935282.832151461
andaman-&-nicobar-islands,2018,4,744104,1432,6091757.917089159
andaman-&-nicobar-islands,2018,4,744211,1225,3451359.606027063
andaman-&-nicobar-islands,2018,4,744301,928,4606293.657525641
andaman-&-nicobar-islands,2018,4,744112,759,2208675.0435713646
andaman-&-nicobar-islands,2018,4,744107,747,1825659.5128978956
andaman-&-nicobar-islands,2018,4,744202,702,3797054.1677634423
andaman-&-nicobar-islands,2019,1,744103,5742,19401964.77965755
andaman-&-nicobar-islands,2019,1,744101,5156,15501306.227195919
andaman-&-nicobar-islands,2019,1,744102,3925,16683547.094795756
andaman-&-nicobar-islands,2019,1,744105,3553,11588669.48032856
andaman-&-nicobar-islands,2019,1,744104,2833,9141657.219605077
andaman-&-nicobar-islands,2019,1,744211,1511,5794838.401831552
andaman-&-nicobar-islands,2019,1,744202,1112,3613381.294736007
andaman-&-nicobar-islands,2019,1,744107,1029,3592930.2975779255
andaman-&-nicobar-islands,2019,1,744301,920,4652963.41114777
andaman-&-nicobar-islands,2019,1,744112,802,1893718.6537822199
andaman-&-nicobar-islands,2019,2,744104,6142,15625676.560883244
andaman-&-nicobar-islands,2019,2,744103,5847,23751450.067206983
andaman-&-nicobar-islands,2019,2,744101,4863,19061125.41121897
andaman-&-nicobar-islands,2019,2,744102,4120,18948733.987097777
andaman-&-nicobar-islands,2019,2,744105,3500,13418692.199162653
andaman-&-nicobar-islands,2019,2,744202,1153,3619993.3910789257
andaman-&-nicobar-islands,2019,2,744107,1124,2967445.3902032813
andaman-&-nicobar-islands,2019,2,744211,1047,3168331.9917352106
andaman-&-nicobar-islands,2019,2,744301,1007,4849284.51925976
andaman-&-nicobar-islands,2019,2,744112,763,2928099.608406143
andaman-&-nicobar-islands,2019,3,744103,5680,19906337.014255583
andaman-&-nicobar-islands,2019,3,744101,5606,18745152.093515635
andaman-&-nicobar-islands,2019,3,744104,4786,15754793.354826454
andaman-&-nicobar-islands,2019,3,744102,3643,14572605.602745283
andaman-&-nicobar-islands,2019,3,744105,3512,11767223.99688773
andaman-&-nicobar-islands,2019,3,744202,1417,3875602.0982028744
andaman-&-nicobar-islands,2019,3,744301,1402,6195496.621729916
andaman-&-nicobar-islands,2019,3,744211,1118,2983697.449378184
andaman-&-nicobar-islands,2019,3,744107,914,1988299.759710987
andaman-&-nicobar-islands,2019,3,744112,833,2198831.6919406196
andaman-&-nicobar-islands,2019,4,744104,6633,20626642.701508522
andaman-&-nicobar-islands,2019,4,744101,5282,23247752.473849062
andaman-&-nicobar-islands,2019,4,744103,4840,19792507.955761045
andaman-&-nicobar-islands,2019,4,744105,3528,15302141.17488026
andaman-&-nicobar-islands,2019,4,744102,3237,15350444.97320769
andaman-&-nicobar-islands,2019,4,744202,1783,5800016.5561128855
andaman-&-nicobar-islands,2019,4,744211,1596,7908264.721918669
andaman-&-nicobar-islands,2019,4,744301,1549,7056478.928838715
andaman-&-nicobar-islands,2019,4,744201,886,946768.0636478986
andaman-&-nicobar-islands,2019,4,744107,777,3030368.911900454
andaman-&-nicobar-islands,2020,1,744101,11793,58229349.02415232
andaman-&-nicobar-islands,2020,1,744103,5870,22009443.073053975
andaman-&-nicobar-islands,2020,1,744105,4635,16774043.311987936
andaman-&-nicobar-islands,2020,1,744102,3820,14517706.12269676
andaman-&-nicobar-islands,2020,1,744211,1837,8425387.79004211
andaman-&-nicobar-islands,2020,1,744301,1819,6901162.107519586
andaman-&-nicobar-islands,2020,1,744202,1794,5037742.395579022
andaman-&-nicobar-islands,2020,1,744104,1302,5293130.290633954
andaman-&-nicobar-islands,2020,1,744201,1157,1242638.821252932
andaman-&-nicobar-islands,2020,1,744107,1043,2990354.4448547475
andaman-&-nicobar-islands,2020,2,744101,11868,48293323.21851964
andaman-&-nicobar-islands,2020,2,744103,10035,26197535.98945152
andaman-&-nicobar-islands,2020,2,744105,9341,23203019.858980607
andaman-&-nicobar-islands,2020,2,744102,6012,17786750.907515876
andaman-&-nicobar-islands,2020,2,744202,3722,8924121.010762567
andaman-&-nicobar-islands,2020,2,744107,2555,3980470.6853698147
andaman-&-nicobar-islands,2020,2,744301,2275,9055232.527755566
andaman-&-nicobar-islands,2020,2,744211,2045,3319717.6328789736
andaman-&-nicobar-islands,2020,2,744205,1847,4459064.90732021
andaman-&-nicobar-islands,2020,2,744104,1840,3334591.822304932
andaman-&-nicobar-islands,2020,3,744101,24386,100439119.66860783
andaman-&-nicobar-islands,2020,3,744103,21272,60332278.69396809
andaman-&-nicobar-islands,2020,3,744105,17166,44061506.56273589
andaman-&-nicobar-islands,2020,3,744102,13934,43077189.842844136
andaman-&-nicobar-islands,2020,3,744202,5779,11975748.707876923
andaman-&-nicobar-islands,2020,3,744107,4753,7628018.669464628
andaman-&-nicobar-islands,2020,3,744104,3468,7353834.51320935
andaman-&-nicobar-islands,2020,3,744112,3422,6067986.696111794
andaman-&-nicobar-islands,2020,3,744301,3071,13352610.531559702
andaman-&-nicobar-islands,2020,3,744205,2991,7535645.788593667
andaman-&-nicobar-islands,2020,4,744103,46884,138264791.5489212
andaman-&-nicobar-islands,2020,4,744101,40392,136401368.02166596
andaman-&-nicobar-islands,2020,4,744105,34410,87838226.93633425
andaman-&-nicobar-islands,2020,4,744102,26694,76348598.32238364
andaman-&-nicobar-islands,2020,4,744202,10949,25543799.074759968
andaman-&-nicobar-islands,2020,4,744107,9743,18083250.19055397
andaman-&-nicobar-islands,2020,4,744104,7654,19126095.533284884
andaman-&-nicobar-islands,2020,4,744112,7016,15890275.050448488
andaman-&-nicobar-islands,2020,4,744205,5118,12002695.281042248
andaman-&-nicobar-islands,2020,4,744201,5011,6777275.536669218
andaman-&-nicobar-islands,2021,1,744101,55726,190830957.0606181
andaman-&-nicobar-islands,2021,1,744103,47328,158404100.7854989
andaman-&-nicobar-islands,2021,1,744105,35467,111571687.43195169
andaman-&-nicobar-islands,2021,1,744102,23957,80750048.8238959
andaman-&-nicobar-islands,2021,1,744211,10648,34956327.94105429
andaman-&-nicobar-islands,2021,1,744202,10597,28127629.877961583
andaman-&-nicobar-islands,2021,1,744107,8848,19627951.469969153
andaman-&-nicobar-islands,2021,1,744104,8799,27854306.51949638
andaman-&-nicobar-islands,2021,1,744112,7113,21084790.0528014
andaman-&-nicobar-islands,2021,1,744301,5630,22671937.31314759
andaman-&-nicobar-islands,2021,2,744101,73334,227585492.7414593
andaman-&-nicobar-islands,2021,2,744103,66321,174752815.1688521
andaman-&-nicobar-islands,2021,2,744105,52645,134835744.22049245
andaman-&-nicobar-islands,2021,2,744102,34289,100890426.76234055
andaman-&-nicobar-islands,2021,2,744202,16476,40647907.96960775
andaman-&-nicobar-islands,2021,2,744107,14524,24690581.539094776
andaman-&-nicobar-islands,2021,2,744104,11278,28333852.06159348
andaman-&-nicobar-islands,2021,2,744211,10182,20377949.346094526
andaman-&-nicobar-islands,2021,2,744112,9635,21637658.167199604
andaman-&-nicobar-islands,2021,2,744301,8463,27666837.39688266
andaman-&-nicobar-islands,2021,3,744101,116324,388328168.7639693
andaman-&-nicobar-islands,2021,3,744103,84790,246433385.80990067
andaman-&-nicobar-islands,2021,3,744105,67257,185238368.4767078
andaman-&-nicobar-islands,2021,3,744102,43850,131239564.16909727
andaman-&-nicobar-islands,2021,3,744202,19088,48475163.574293144
andaman-&-nicobar-islands,2021,3,744107,16203,37962312.09641009
andaman-&-nicobar-islands,2021,3,744104,14657,35301326.114471875
andaman-&-nicobar-islands,2021,3,744112,11565,28491553.61094001
andaman-&-nicobar-islands,2021,3,744301,11553,43464511.051198
andaman-&-nicobar-islands,2021,3,744211,9655,19497765.257140517
andaman-&-nicobar-islands,2021,4,744101,165719,533026207.9731797
andaman-&-nicobar-islands,2021,4,744103,121613,372243734.27985656
andaman-&-nicobar-islands,2021,4,744105,95028,281223411.7435058
andaman-&-nicobar-islands,2021,4,744102,58258,174623253.47653326
andaman-&-nicobar-islands,2021,4,744211,27938,94222862.10725296
andaman-&-nicobar-islands,2021,4,744104,25662,69245386.0816525
andaman-&-nicobar-islands,2021,4,744202,21913,67790798.04849821
andaman-&-nicobar-islands,2021,4,744107,21397,52036029.9980372
andaman-&-nicobar-islands,2021,4,744112,18915,55448543.43365714
andaman-&-nicobar-islands,2021,4,744301,14553,47792330.70050094
andaman-&-nicobar-islands,2022,1,744101,209941,615978080.6944855
andaman-&-nicobar-islands,2022,1,744103,157230,399715980.1391735
andaman-&-nicobar-islands,2022,1,744105,122716,321850608.7396423
andaman-&-nicobar-islands,2022,1,744102,74883,193336549.94178736
andaman-&-nicobar-islands,2022,1,744104,32471,72915521.83614868
andaman-&-nicobar-islands,2022,1,744211,30272,86955570.58655271
andaman-&-nicobar-islands,2022,1,744107,25379,58776727.62636636
andaman-&-nicobar-islands,2022,1,744202,24022,68519268.77643085
andaman-&-nicobar-islands,2022,1,744112,23471,55469783.6622991
andaman-&-nicobar-islands,2022,1,744301,17630,56879992.28461884
andaman-&-nicobar-islands,2022,2,744101,252722,702122365.3629664
andaman-&-nicobar-islands,2022,2,744103,230746,561168775.5622396
andaman-&-nicobar-islands,2022,2,744105,176252,415796516.6034926
andaman-&-nicobar-islands,2022,2,744102,101551,240451609.192299
andaman-&-nicobar-islands,2022,2,744104,47069,94335358.34017953
andaman-&-nicobar-islands,2022,2,744211,40245,108788594.62847154
andaman-&-nicobar-islands,2022,2,744107,36402,82851064.58195859
andaman-&-nicobar-islands,2022,2,744112,32548,70178309.12885833
andaman-&-nicobar-islands,2022,2,744202,27750,84587978.8405464
andaman-&-nicobar-islands,2022,2,744301,26170,74485462.68044695
andaman-&-nicobar-islands,2022,3,744104,497273,951370315.4090765
andaman-&-nicobar-islands,2022,3,744103,259994,545653686.3062732
andaman-&-nicobar-islands,2022,3,744101,213864,444967255.802143
andaman-&-nicobar-islands,2022,3,744105,208055,438754611.5375265
andaman-&-nicobar-islands,2022,3,744102,114416,239581586.790242
andaman-&-nicobar-islands,2022,3,744107,40466,85492008.49477127
andaman-&-nicobar-islands,2022,3,744112,38350,74030563.48358011
andaman-&-nicobar-islands,2022,3,744211,37918,89671382.06901146
andaman-&-nicobar-islands,2022,3,744202,29918,85509005.84576747
andaman-&-nicobar-islands,2022,3,744301,27668,70002553.35288173
andaman-&-nicobar-islands,2022,4,744104,684366,1309407988.2902
andaman-&-nicobar-islands,2022,4,744103,304600,612929267.1773143
andaman-&-nicobar-islands,2022,4,744105,258097,505662756.1128938
andaman-&-nicobar-islands,2022,4,744101,243494,467192496.17391205
andaman-&-nicobar-islands,2022,4,744102,134923,264371699.73904055
andaman-&-nicobar-islands,2022,4,744211,56491,137253267.66612908
andaman-&-nicobar-islands,2022,4,744107,54192,104539818.47127225
andaman-&-nicobar-islands,2022,4,744112,46364,82461782.47749998
andaman-&-nicobar-islands,2022,4,744202,34689,94217164.85909571
